ACTIVIDAD INTERNA,Renta y complementarios /1,Renta cuotas,Retención en la fuente a título de renta /2,IVA_IN,Declaraciones IVA,Retención en la fuente a título de IVA,Timbre nacional,G.M.F.,Patrimonio /3,Riqueza /4,Impuesto al consumo /5,Impuesto gasolina y ACPM,Impuesto al carbono /6,CREE,Declaraciones CREE /7,Retención CREE,Impuesto unificado RST (Simple)  /8,Impuesto de normalización tributaria /9,Consumo bienes inmuebles /10,Productos plásticos de un solo uso /11,Impuestos saludables - Bebidas azucaradas /12,Impuestos saludables - Comestibles ultraprocesados /13,ACTIVIDAD EXTERNA,IVA_EX,Arancel /14,Por identificar,Total,Año
9070545.454545453,6074606.060606061,4394848.484848484,1679757.5757575757,2545272.727272727,2545272.727272727,,450666.6666666666,,,,,,,,,,,,,,,,3891030.3030303027,1294363.6363636362,2596666.6666666665,,12961575.757575758,1983
9955641.025641026,6196871.794871795,4197948.717948718,1998923.076923077,3193282.0512820515,3193282.0512820515,,565487.1794871795,,,,,,,,,,,,,,,,3687897.435897436,1324461.5384615385,2363435.8974358975,,13643538.461538462,1984
11612857.142857144,6810882.352941177,4225504.201680672,2585378.1512605045,3983235.294117647,3983235.294117647,,818739.4957983193,,,,,,,,,,,,,,,,5511470.588235294,1712521.0084033615,3798949.579831933,,17124327.731092438,1985
12971076.38888889,7729201.388888889,4313993.055555556,3415208.3333333335,4376388.888888889,4376388.888888889,,865486.1111111111,,,,,,,,,,,,,,,,7096562.5,2178576.388888889,4917986.111111111,,20067638.888888888,1986
14202709.497206705,8891871.508379888,4518715.083798883,4373156.424581006,4836983.240223464,4836983.240223464,,473854.748603352,,,,,,,,,,,,,,,,9296787.709497208,2557513.966480447,6739273.74301676,,23499497.206703912,1987
14731353.711790392,9321593.886462882,4476288.2096069865,4845305.676855895,4993231.4410480345,4993231.4410480345,,416528.38427947595,,,,,,,,,,,,,,,,10227489.082969433,2920611.3537117904,7306877.729257642,,24958842.794759825,1988
15919723.183391003,10151297.57785467,5140916.9550173,5010380.62283737,5314913.494809688,5314913.494809688,,453512.1107266436,,,,,,,,,,,,,,,,9715899.653979238,2793719.7231833907,6922179.930795847,,25635622.83737024,1989
16572339.869281046,10751803.921568628,5670169.934640523,5081633.986928104,5378849.673202614,5378849.673202614,,441686.2745098039,,,,,,,,,,,,,,,,9217620.91503268,2777385.620915033,6440235.294117647,,25789960.784313727,1990
21432278.350515466,14533608.247422682,8028515.463917526,6505092.783505156,6477731.958762887,6477731.958762887,,420938.14432989695,,,,,,,,,,,,,,,,7149886.5979381455,2838226.804123712,4311659.793814434,,28582164.948453613,1991
23035741.350906093,15208574.958813837,6141738.056013179,9066836.902800659,7369464.579901152,7369464.579901152,,457701.81219110376,,,,,,,,,,,,,,,,6565271.828665568,3789266.8863261943,2776004.9423393738,,29601013.179571662,1992
